Unique_ID,Voyage,CTD,Date,Year,Month,Day,Lat,Lon,Chl.c3,Chl.c2,Chl.c2_1,Chl.c1,Per,X19but,Fuco,Neox,Pra,Viol,X19hex,Ddx,Allo,Zea,Lut,ChlcMGDG.18,ChlcMGDG.14,Chl.b,DVChla,Tchla,Haptophytes,Pelagophytes,Cryptophytes,Dinoflagellates.A,Syn,Diatoms,Green
K_00001,nbp97_8,U.S. JGOFS AESOPS,19970101,1997,1,1,-76.5305,169.161,0,0,0,0,0,0,0.2445,0,0,0.0072,0.0534,0.1344,0.0081,0,0.0042,0,0,0.0097,0,0.8984,0.119083109,0,0.045143513,0,0,0.718220907,0.015952471
K_00002,nbp97_8,U.S. JGOFS AESOPS,19970101,1997,1,1,-76.5305,169.161,0,0,0,0,0,0.0319,0.3069,0,0,0,0.0551,0.1529,0,0,0,0,0,0,0,0.9145,0.388143703,0.038873659,0,0,0,0.487482638,0
K_00003,nbp97_8,U.S. JGOFS AESOPS,19970101,1997,1,1,-76.5305,169.161,0,0,0,0,0,0,0.3927,0,0,0,0.0782,0.094,0,0,0.004,0,0,0.0684,0,0.9994,0.524341871,0,9.51E-05,0,0,0.410255244,0.06470777
K_00004,nbp97_8,U.S. JGOFS AESOPS,19970101,1997,1,1,-76.5305,169.161,0,0,0,0,0,0.0115,0.4807,0,0,0,0.0915,0.0931,0,0,0,0,0,0.0697,0,1.1739,0.391705599,0,0,0.000121539,0,0.690279136,0.091793726
K_00005,nbp97_8,U.S. JGOFS AESOPS,19970101,1997,1,1,-76.5305,169.161,0,0,0,0,0.0171,0.0141,0.5825,0,0,0,0.0932,0.08,0,0,0.0017,0,0,0.0465,0,1.3089,0.26843227,0.023736225,0,0.012500065,0,0.977653359,0.02657808
K_00006,rr_6,U.S. JGOFS AESOPS,19970101,1997,1,1,-60.4998,-168.9998,0.029,0,0.032,0,0.005,0.025,0.077,0,0,0.003,0.052,0.012,0.001,0.002,0,0,0,0.019,0,0.206,0.03362758,0.04046119,0.000891357,0.004103993,0.005042361,0.098549898,0.023323619
K_00007,rr_6,U.S. JGOFS AESOPS,19970101,1997,1,1,-60.4998,-168.9998,0.04,0,0.059,0,0.011,0.027,0.125,0,0,0.005,0.073,0.024,0.002,0.002,0,0,0,0.019,0,0.296,0.046152032,0.039745185,0.001736933,0.00882393,0.004630355,0.171455182,0.023456383
K_00008,rr_6,U.S. JGOFS AESOPS,19970101,1997,1,1,-60.4998,-168.9998,0.044,0,0.074,0,0.013,0.03,0.139,0,0,0.005,0.098,0.043,0.003,0.002,0,0,0,0.022,0,0.356,0.065192258,0.043313096,0.002756577,0.010978838,0.004559723,0.200889063,0.028310446
K_00009,rr_6,U.S. JGOFS AESOPS,19970101,1997,1,1,-60.4998,-168.9998,0.046,0,0.076,0,0.013,0.03,0.14,0,0,0.006,0.098,0.042,0.003,0.002,0,0,0,0.022,0,0.343,0.062568473,0.041574195,0.002634804,0.010532051,0.003920751,0.194272193,0.027497532
K_00010,rr_6,U.S. JGOFS AESOPS,19970101,1997,1,1,-60.4998,-168.9998,0.046,0,0.072,0,0.014,0.029,0.141,0,0,0.006,0.099,0.043,0.004,0.002,0,0,0,0.022,0,0.357,0.065150672,0.040635552,0.003629496,0.011694576,0.004334851,0.20320874,0.028346113
K_00011,rr_6,U.S. JGOFS AESOPS,19970101,1997,1,1,-60.4998,-168.9998,0.045,0,0.076,0,0.014,0.031,0.141,0,0,0.006,0.095,0.042,0.003,0.002,0,0,0,0.023,0,0.34,0.059672703,0.043370513,0.002588075,0.011157314,0.003462026,0.191556193,0.028193177
K_00012,rr_6,U.S. JGOFS AESOPS,19970101,1997,1,1,-60.4998,-168.9998,0.047,0,0.078,0,0.013,0.032,0.142,0,0,0.006,0.103,0.044,0.004,0.002,0,0,0,0.021,0,0.34,0.063911655,0.043368521,0.003407688,0.010232406,0.003798373,0.189687689,0.025593669
